problem_id,avg_accuracy,difficulty_score,std_accuracy,num_epochs
4,0.0,1.0,0.0,10
786,0.0,1.0,0.0,10
146,0.0,1.0,0.0,10
1169,0.0,1.0,0.0,10
1148,0.0,1.0,0.0,10
1078,0.0,1.0,0.0,10
1061,0.0,1.0,0.0,10
930,0.0,1.0,0.0,10
651,0.0,1.0,0.0,10
1502,0.0,1.0,0.0,10
630,0.0,1.0,0.0,10
205,0.0,1.0,0.0,10
573,0.0,1.0,0.0,10
461,0.0,1.0,0.0,10
432,0.0,1.0,0.0,10
294,0.0,1.0,0.0,10
137,0.0,1.0,0.0,10
144,0.0,1.0,0.0,10
272,0.0,1.0,0.0,10
1968,0.0,1.0,0.0,10
114,0.0,1.0,0.0,10
1593,0.0,1.0,0.0,10
1951,0.0,1.0,0.0,10
96,0.0,1.0,0.0,10
1618,0.0,1.0,0.0,10
83,0.0,1.0,0.0,10
1812,0.0,1.0,0.0,10
1628,0.0,1.0,0.0,10
1772,0.0,1.0,0.0,10
1667,0.0,1.0,0.0,10
1697,0.1,0.9,0.30000000000000004,10
1903,0.1,0.9,0.30000000000000004,10
1525,0.1,0.9,0.30000000000000004,10
719,0.1,0.9,0.30000000000000004,10
259,0.1,0.9,0.30000000000000004,10
1004,0.1,0.9,0.30000000000000004,10
1608,0.1,0.9,0.30000000000000004,10
1313,0.1,0.9,0.30000000000000004,10
824,0.1,0.9,0.30000000000000004,10
611,0.1,0.9,0.30000000000000004,10
124,0.1,0.9,0.30000000000000004,10
691,0.2,0.8,0.4000000000000001,10
18,0.2,0.8,0.4000000000000001,10
1139,0.2,0.8,0.4000000000000001,10
268,0.2,0.8,0.4000000000000001,10
122,0.2,0.8,0.4,10
1369,0.2,0.8,0.4000000000000001,10
1188,0.2,0.8,0.4000000000000001,10
186,0.2,0.8,0.4000000000000001,10
1281,0.3,0.7,0.45825756949558394,10
275,0.3,0.7,0.45825756949558394,10
516,0.3,0.7,0.45825756949558405,10
737,0.3,0.7,0.45825756949558405,10
200,0.3,0.7,0.45825756949558394,10
218,0.4,0.6,0.48989794855663565,10
1630,0.4,0.6,0.4898979485566356,10
1158,0.4,0.6,0.48989794855663565,10
1401,0.4,0.6,0.48989794855663565,10
243,0.5,0.5,0.5,10
968,0.5,0.5,0.5,10
238,0.5,0.5,0.5,10
712,0.5,0.5,0.5,10
274,0.6,0.4,0.48989794855663565,10
660,0.6,0.4,0.4898979485566356,10
1743,0.6,0.4,0.48989794855663565,10
8,0.7,0.30000000000000004,0.45825756949558405,10
353,0.7,0.30000000000000004,0.45825756949558405,10
365,0.7,0.30000000000000004,0.45825756949558405,10
483,0.7,0.30000000000000004,0.45825756949558394,10
47,0.7,0.30000000000000004,0.45825756949558394,10
453,0.8,0.19999999999999996,0.4,10
1590,0.8,0.19999999999999996,0.4,10
263,0.8,0.19999999999999996,0.4,10
1912,0.8,0.19999999999999996,0.4,10
1952,0.8,0.19999999999999996,0.4,10
1662,0.8,0.19999999999999996,0.4,10
1920,0.8,0.19999999999999996,0.4,10
614,0.9,0.09999999999999998,0.30000000000000004,10
197,0.9,0.09999999999999998,0.30000000000000004,10
145,0.9,0.09999999999999998,0.30000000000000004,10
334,0.9,0.09999999999999998,0.30000000000000004,10
452,0.9,0.09999999999999998,0.30000000000000004,10
1956,0.9,0.09999999999999998,0.30000000000000004,10
241,0.9,0.09999999999999998,0.30000000000000004,10
184,0.9,0.09999999999999998,0.3,10
173,0.9,0.09999999999999998,0.30000000000000004,10
1954,0.9,0.09999999999999998,0.30000000000000004,10
1942,0.9,0.09999999999999998,0.30000000000000004,10
1266,0.9,0.09999999999999998,0.30000000000000004,10
1572,0.9,0.09999999999999998,0.3,10
104,1.0,0.0,0.0,10
1459,1.0,0.0,0.0,10
1412,1.0,0.0,0.0,10
90,1.0,0.0,0.0,10
107,1.0,0.0,0.0,10
82,1.0,0.0,0.0,10
1483,1.0,0.0,0.0,10
239,1.0,0.0,0.0,10
1644,1.0,0.0,0.0,10
1914,1.0,0.0,0.0,10
1976,1.0,0.0,0.0,10
1974,1.0,0.0,0.0,10
11,1.0,0.0,0.0,10
1927,1.0,0.0,0.0,10
1925,1.0,0.0,0.0,10
1924,1.0,0.0,0.0,10
1923,1.0,0.0,0.0,10
1921,1.0,0.0,0.0,10
1919,1.0,0.0,0.0,10
1918,1.0,0.0,0.0,10
1917,1.0,0.0,0.0,10
1913,1.0,0.0,0.0,10
81,1.0,0.0,0.0,10
1911,1.0,0.0,0.0,10
1910,1.0,0.0,0.0,10
1909,1.0,0.0,0.0,10
1907,1.0,0.0,0.0,10
20,1.0,0.0,0.0,10
1899,1.0,0.0,0.0,10
1845,1.0,0.0,0.0,10
58,1.0,0.0,0.0,10
1751,1.0,0.0,0.0,10
1736,1.0,0.0,0.0,10
62,1.0,0.0,0.0,10
1790,1.0,0.0,0.0,10
1059,1.0,0.0,0.0,10
1335,1.0,0.0,0.0,10
337,1.0,0.0,0.0,10
412,1.0,0.0,0.0,10
409,1.0,0.0,0.0,10
400,1.0,0.0,0.0,10
399,1.0,0.0,0.0,10
393,1.0,0.0,0.0,10
383,1.0,0.0,0.0,10
377,1.0,0.0,0.0,10
367,1.0,0.0,0.0,10
348,1.0,0.0,0.0,10
338,1.0,0.0,0.0,10
335,1.0,0.0,0.0,10
436,1.0,0.0,0.0,10
323,1.0,0.0,0.0,10
316,1.0,0.0,0.0,10
305,1.0,0.0,0.0,10
304,1.0,0.0,0.0,10
302,1.0,0.0,0.0,10
229,1.0,0.0,0.0,10
292,1.0,0.0,0.0,10
289,1.0,0.0,0.0,10
286,1.0,0.0,0.0,10
236,1.0,0.0,0.0,10
418,1.0,0.0,0.0,10
447,1.0,0.0,0.0,10
1308,1.0,0.0,0.0,10
767,1.0,0.0,0.0,10
1265,1.0,0.0,0.0,10
167,1.0,0.0,0.0,10
168,1.0,0.0,0.0,10
1137,1.0,0.0,0.0,10
1114,1.0,0.0,0.0,10
1081,1.0,0.0,0.0,10
1011,1.0,0.0,0.0,10
191,1.0,0.0,0.0,10
892,1.0,0.0,0.0,10
198,1.0,0.0,0.0,10
664,1.0,0.0,0.0,10
459,1.0,0.0,0.0,10
203,1.0,0.0,0.0,10
639,1.0,0.0,0.0,10
204,1.0,0.0,0.0,10
627,1.0,0.0,0.0,10
603,1.0,0.0,0.0,10
214,1.0,0.0,0.0,10
518,1.0,0.0,0.0,10
473,1.0,0.0,0.0,10
471,1.0,0.0,0.0,10
215,1.0,0.0,0.0,10
1981,1.0,0.0,0.0,10
